#time    potential    pressure    kinect   square_kin
2.21    -55.246    1.783    1402.963    1.968304649e6
2.22    -51.25    81.431    1400.912    1.962555475e6
2.23    -43.893    214.006    1395.183    1.946534596e6
2.24    -37.449    338.199    1387.566    1.925339819e6
2.25    -35.328    405.551    1383.652    1.914492733e6
2.26    -32.451    480.435    1381.961    1.909815561e6
2.27    -27.69    576.457    1377.831    1.898419133e6
2.28    -24.453    648.627    1373.787    1.88729078e6
2.29    -15.44    791.182    1370.398    1.877990956e6
2.3    -1.18    991.926    1355.763    1.838092345e6
2.31    -13.662    838.696    1361.306    1.853152765e6
2.32    -7.332    912.993    1360.691    1.851479911e6
2.33    -30.207    597.601    1369.011    1.874192075e6
2.34    -43.532    401.297    1387.819    1.926040343e6
2.35    -48.579    320.167    1395.367    1.947048955e6
2.36    -51.055    283.442    1398.583    1.95603483e6
2.37    -50.402    299.358    1399.962    1.959892401e6
2.38    -42.852    415.616    1396.302    1.949660505e6
2.39    -29.446    611.648    1385.404    1.919344297e6
2.4    -18.758    764.154    1372.163    1.882831022e6
2.41    -20.148    743.982    1367.13    1.869044388e6
2.42    -25.27    662.0    1372.599    1.884027814e6
2.43    -24.829    645.562    1374.991    1.890601504e6
2.44    -26.226    602.606    1373.831    1.88741032e6
2.45    -34.515    473.322    1379.858    1.904007936e6
2.46    -33.283    478.331    1385.336    1.919154795e6
2.47    -10.336    773.1    1375.123    1.890962775e6
2.48    5.815    968.66    1348.003    1.817112653e6
2.49    -10.94    715.573    1354.459    1.834558437e6
2.5    -28.086    444.102    1369.841    1.876465725e6
2.51    -39.694    249.349    1385.286    1.919018167e6
2.52    -35.11    277.363    1389.822    1.931606005e6
2.53    -24.338    391.359    1378.216    1.899480125e6
2.54    -35.616    218.548    1379.679    1.903514757e6
2.55    -44.843    73.623    1390.774    1.934251112e6
2.56    -48.062    15.566    1396.149    1.949232048e6
2.57    -49.783    -12.406    1397.796    1.953834262e6
2.58    -51.967    -35.471    1399.823    1.959504713e6
2.59    -51.977    -17.957    1401.421    1.963980454e6
2.6    -46.206    87.264    1399.128    1.957558988e6
2.61    -34.53    276.758    1390.16    1.932544426e6
2.62    -26.283    420.54    1379.021    1.901697686e6
2.63    -24.781    469.423    1375.062    1.890795485e6
2.64    -20.63    542.502    1373.095    1.885389609e6
2.65    -21.773    534.61    1369.1    1.874434497e6
2.66    -35.367    355.886    1377.741    1.898170474e6
2.67    -45.027    229.464    1390.905    1.934616153e6
2.68    -43.274    261.863    1395.102    1.946309649e6
2.69    -32.633    418.23    1388.022    1.92660621e6
2.7    -27.553    502.968    1378.503    1.900270548e6
2.71    -27.429    519.32    1377.777    1.898270281e6
2.72    -28.225    522.001    1377.446    1.897358392e6
2.73    -26.039    566.194    1378.675    1.900745545e6
2.74    -6.487    834.627    1370.105    1.877186827e6
2.75    9.485    1036.247    1344.895    1.80874314e6
2.76    -21.827    599.207    1359.108    1.847174605e6
2.77    -38.607    338.714    1383.444    1.913917032e6
2.78    -44.229    229.818    1392.409    1.938803987e6
2.79    -47.654    159.695    1396.089    1.949064847e6
2.8    -49.275    123.322    1399.03    1.95728379e6
2.81    -45.702    163.567    1398.285    1.955201659e6
2.82    -40.376    231.563    1392.825    1.939960353e6
2.83    -40.251    232.841    1389.882    1.93177087e6
2.84    -42.095    208.653    1391.303    1.935723105e6
2.85    -43.755    189.806    1393.069    1.940641776e6
2.86    -42.586    213.543    1394.009    1.943261375e6
2.87    -34.503    332.109    1389.846    1.931672001e6
2.88    -24.357    475.502    1379.49    1.902991365e6
2.89    -26.327    452.794    1374.304    1.888712738e6
2.9    -33.656    351.66    1380.846    1.906736754e6
2.91    -37.458    293.024    1386.159    1.921436046e6
2.92    -39.636    256.048    1388.682    1.92843828e6
2.93    -42.245    215.742    1390.903    1.934609844e6
2.94    -44.413    185.347    1393.625    1.942190721e6
2.95    -43.575    199.482    1394.539    1.944738785e6
2.96    -41.553    233.729    1392.482    1.939007216e6
2.97    -43.546    220.754    1392.38    1.938722547e6
2.98    -43.065    247.969    1394.669    1.945101455e6
2.99    -30.021    447.988    1389.585    1.930947777e6
3.0    3.043    901.522    1368.734    1.8734314e6
